2016-07-19 19:20:29,852 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: pjotr.zeljonka:MyShop:0.0.1-SNAPSHOT @ D:\Зельонка Петро\JavaProj\MyShop\pom.xml.
2016-07-19 19:20:30,274 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyShop/src/main/java
2016-07-19 19:20:30,274 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyShop/src/main/resources
2016-07-19 19:20:30,289 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyShop/src/test/java
2016-07-19 19:20:30,289 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyShop/src/test/resources
2016-07-19 19:20:30,788 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: pjotr.zeljonka:MyShop:0.0.1-SNAPSHOT @ D:\Зельонка Петро\JavaProj\MyShop\pom.xml.
2016-07-19 19:20:31,085 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 19:20:31,100 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-19 19:20:31,100 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 19:20:31,116 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-19 19:20:31,506 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: pjotr.zeljonka:MyShop:0.0.1-SNAPSHOT @ D:\Зельонка Петро\JavaProj\MyShop\pom.xml.
2016-07-19 19:20:32,146 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 19:20:32,161 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-07-19 19:20:32,161 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-19 19:20:32,177 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
